order,target_feature,ground_truth,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit,n,protocol,loss,calibrated,context_feature
1.0,X2,,(),exp7_xor3_records.csv,-0.004893026121541911,0.016797261408268743,0.0030503551342160136,-0.010051098806592064,0.0004972102707308206,5,5,0,25,repeat_mean,,,,,
1.0,X3,,(),exp7_xor3_records.csv,0.0010923469787524392,0.01937127881057052,0.004203347055217548,-0.006395332206360056,0.008949268897179844,5,5,0,25,repeat_mean,,,,,
1.0,X4,,(),exp7_xor3_records.csv,0.004354720819096008,0.014973450286009611,0.004998730026652417,-0.0038048573811967634,0.013206082926848784,5,5,0,25,repeat_mean,,,,,
1.0,X5,,(),exp7_xor3_records.csv,0.001229784425597764,0.014508426963188872,0.00217098041630957,-0.002392774664289056,0.005093809065332395,5,5,0,25,repeat_mean,,,,,
1.0,X6,,(),exp7_xor3_records.csv,-0.0015742262811553483,0.018739018612348408,0.002507807170114401,-0.00535688813013774,0.0035327557871337677,5,5,0,25,repeat_mean,,,,,
1.0,X7,,(),exp7_xor3_records.csv,-0.0015051241158504636,0.01604716507597971,0.001773279878588391,-0.00457090484556158,0.0015606566138606525,5,5,0,25,repeat_mean,,,,,
1.0,X8,,(),exp7_xor3_records.csv,0.0069578887198978034,0.011622780970913483,0.00110238699443925,0.004985370364143044,0.008695532068145577,5,5,0,25,repeat_mean,,,,,
1.0,X9,,(),exp7_xor3_records.csv,-0.00919850458408842,0.013521142166224456,0.00132311744089923,-0.010844292239722341,-0.006532417133272239,5,5,0,25,repeat_mean,,,,,
2.0,X1,,"('X10',)",exp7_xor3_records.csv,-0.0022956261739498483,0.015261146973065156,0.001305811177442501,-0.004427110811174471,0.00024356194723756022,5,5,0,25,repeat_mean,,,,,
2.0,X1,,"('X2',)",exp7_xor3_records.csv,-0.003448064264634616,0.019113556144616996,0.004454079948979713,-0.011314459811459864,0.0041465800279331866,5,5,0,25,repeat_mean,,,,,
2.0,X1,,"('X3',)",exp7_xor3_records.csv,-0.00716686351902658,0.01836713815548562,0.004435546280401386,-0.01483978947832936,0.0005060624402761997,5,5,0,25,repeat_mean,,,,,
