order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta
1,(),12,0,X13,(),0,2,-0.03137059222354288
1,(),12,0,X13,(),0,3,-0.014288628023108263
1,(),12,0,X13,(),0,4,-0.009367787277410833
1,(),12,0,X13,(),1,0,0.017170964244520803
1,(),12,0,X13,(),1,1,-0.01748447105135631
1,(),12,0,X13,(),1,2,0.0017087162855663474
1,(),12,0,X13,(),1,3,0.001608785745165986
1,(),12,0,X13,(),1,4,-0.005798283794621106
1,(),12,0,X13,(),2,0,-0.015866559090280896
1,(),12,0,X13,(),2,1,-0.015065458033379997
1,(),12,0,X13,(),2,2,-0.015401741128609592
1,(),12,0,X13,(),2,3,0.007877357354261982
1,(),12,0,X13,(),2,4,0.0066550583623209425
1,(),12,0,X13,(),3,0,0.005987444015732035
1,(),12,0,X13,(),3,1,-0.001817324444662094
1,(),12,0,X13,(),3,2,-0.033729351623439374
1,(),12,0,X13,(),3,3,0.014091183321591094
1,(),12,0,X13,(),3,4,-0.01469828220819236
1,(),12,0,X13,(),4,0,-0.023215694442922374
1,(),12,0,X13,(),4,1,0.011354920706757587
1,(),12,0,X13,(),4,2,-0.009992981246976673
1,(),12,0,X13,(),4,3,-0.017666387080496615
1,(),12,0,X13,(),4,4,-0.021058761336780085
1,(),13,0,X14,(),0,0,0.011691797067512444
1,(),13,0,X14,(),0,1,0.01543063489647667
1,(),13,0,X14,(),0,2,-0.018288534425794256
1,(),13,0,X14,(),0,3,-0.005113623943759138
1,(),13,0,X14,(),0,4,-0.009674042851800513
1,(),13,0,X14,(),1,0,0.006984765073908661
1,(),13,0,X14,(),1,1,-0.0041508297310758335
1,(),13,0,X14,(),1,2,0.004494714282592183
1,(),13,0,X14,(),1,3,0.003530524958856418
1,(),13,0,X14,(),1,4,-0.015168374813417151
1,(),13,0,X14,(),2,0,0.01771662341717184
1,(),13,0,X14,(),2,1,-0.017627638196558326
1,(),13,0,X14,(),2,2,0.015491027790312195
1,(),13,0,X14,(),2,3,-0.012056500284535532
1,(),13,0,X14,(),2,4,-0.006053386654770732
1,(),13,0,X14,(),3,0,0.01672756094849559
1,(),13,0,X14,(),3,1,-0.0037676093810491418
1,(),13,0,X14,(),3,2,0.0044584102209433984
1,(),13,0,X14,(),3,3,-0.0005521347281356448
1,(),13,0,X14,(),3,4,-0.02307809047270548
1,(),13,0,X14,(),4,0,0.009909390429675868
1,(),13,0,X14,(),4,1,0.005871604901182215
1,(),13,0,X14,(),4,2,0.006889429230391597
1,(),13,0,X14,(),4,3,-0.03014715272094637
1,(),13,0,X14,(),4,4,-0.014221923822981375
1,(),14,0,X15,(),0,0,0.029024633270951727
