order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta,seed
1,(),7,0,X8,(),2,0,0.00014153144735373768,43
1,(),7,0,X8,(),2,1,-0.0007993633081680995,43
1,(),7,0,X8,(),2,2,-1.974909172841599e-05,43
1,(),7,0,X8,(),2,3,-1.7849499120148327e-05,43
1,(),7,0,X8,(),2,4,-0.00019542214987611217,43
1,(),7,0,X8,(),3,0,-0.0001537386557250997,43
1,(),7,0,X8,(),3,1,0.0002481604542722837,43
1,(),7,0,X8,(),3,2,-8.433983584232863e-05,43
1,(),7,0,X8,(),3,3,-0.0004446567013154934,43
1,(),7,0,X8,(),3,4,-3.580364033312078e-05,43
1,(),7,0,X8,(),4,0,-0.00044425741071330016,43
1,(),7,0,X8,(),4,1,-2.4360153900726544e-06,43
1,(),7,0,X8,(),4,2,0.00026767123153104144,43
1,(),7,0,X8,(),4,3,0.0003748317010129343,43
1,(),7,0,X8,(),4,4,5.6234179552194785e-05,43
1,(),0,0,X1,(),0,0,0.03510955646566316,44
1,(),0,0,X1,(),0,1,0.04455510368243831,44
1,(),0,0,X1,(),0,2,0.050600162941210836,44
1,(),0,0,X1,(),0,3,0.04296002947968214,44
1,(),0,0,X1,(),0,4,0.037528950941780326,44
1,(),0,0,X1,(),1,0,0.03903512101476647,44
1,(),0,0,X1,(),1,1,0.0487167548943685,44
1,(),0,0,X1,(),1,2,0.04188470940672262,44
1,(),0,0,X1,(),1,3,0.03697979101664084,44
1,(),0,0,X1,(),1,4,0.03957541618372423,44
1,(),0,0,X1,(),2,0,0.047491328556710066,44
1,(),0,0,X1,(),2,1,0.033123249414657,44
1,(),0,0,X1,(),2,2,0.038422205883269556,44
1,(),0,0,X1,(),2,3,0.04768183489516048,44
1,(),0,0,X1,(),2,4,0.027141814053390168,44
1,(),0,0,X1,(),3,0,0.04223686080438316,44
1,(),0,0,X1,(),3,1,0.034492917940531165,44
1,(),0,0,X1,(),3,2,0.044745885133181174,44
1,(),0,0,X1,(),3,3,0.054178142607825,44
1,(),0,0,X1,(),3,4,0.03286784687073563,44
1,(),0,0,X1,(),4,0,0.04456296237328605,44
1,(),0,0,X1,(),4,1,0.03764870484665428,44
1,(),0,0,X1,(),4,2,0.047224455216459904,44
1,(),0,0,X1,(),4,3,0.04131665189102701,44
1,(),0,0,X1,(),4,4,0.037609259266325024,44
1,(),1,0,X2,(),0,0,0.04281140453516019,44
1,(),1,0,X2,(),0,1,0.03451095148119521,44
1,(),1,0,X2,(),0,2,0.04649483338965499,44
1,(),1,0,X2,(),0,3,0.044979319170506626,44
1,(),1,0,X2,(),0,4,0.04264076695370428,44
1,(),1,0,X2,(),1,0,0.04138961365194738,44
1,(),1,0,X2,(),1,1,0.04696486905337971,44
1,(),1,0,X2,(),1,2,0.043126998832507424,44
1,(),1,0,X2,(),1,3,0.03672975626852487,44
1,(),1,0,X2,(),1,4,0.041402813563983676,44
1,(),1,0,X2,(),2,0,0.04656411120015186,44
1,(),1,0,X2,(),2,1,0.03886542357335404,44
1,(),1,0,X2,(),2,2,0.04319220315577382,44
1,(),1,0,X2,(),2,3,0.04223908356373696,44
1,(),1,0,X2,(),2,4,0.03155767390388575,44
1,(),1,0,X2,(),3,0,0.03837060011131682,44
1,(),1,0,X2,(),3,1,0.04178740307516432,44
1,(),1,0,X2,(),3,2,0.039526375206619224,44
