experiment,claim,seed_ix,seed,n,order,estimator,loss,target_feature,context_features,repeat,fold,delta,protocol,calibrated,context_feature
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",1,3,0.017343149734682983,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",1,4,0.0034182289396345045,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",2,0,0.00263397634174678,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",2,1,-0.002615816597589471,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",2,2,-0.016131779209942354,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",2,3,-0.0017132143266554989,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",2,4,-0.027549349136497203,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",3,0,-0.022804100139898198,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",3,1,-0.007916881109758522,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",3,2,-0.004290794993199509,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",3,3,0.004260072366637613,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",3,4,0.004409409461764935,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",4,0,-0.01708189349103073,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",4,1,0.005115138865718127,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",4,2,-0.01584458173933312,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",4,3,-0.01640529046160588,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X2,"('X3',)",4,4,0.004392653867048235,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",0,0,0.00953828559199743,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",0,1,-0.007780027292063507,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",0,2,0.002565203176419728,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",0,3,-0.00761407392032587,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",0,4,-0.003438858388595034,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",1,0,0.016046319411148424,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",1,1,-0.003393956911575624,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",1,2,0.006028997462414143,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",1,3,-0.0034726567409351095,,,
xor3,xor3_order2_zero,0,42,4096,2,dt,rmse,X3,"('X1',)",1,4,-0.016286378551383263,,,
