order,context_indices,target_idx,context_size,target_feature,context_features,repeat,fold,delta
2,"(3,)",0,1,X1,"('X4',)",4,2,-0.0008686981035898045
2,"(3,)",0,1,X1,"('X4',)",4,3,-0.03730197935730062
2,"(3,)",0,1,X1,"('X4',)",4,4,-0.01197852547095335
2,"(4,)",0,1,X1,"('X5',)",0,0,-0.003432607648618302
2,"(4,)",0,1,X1,"('X5',)",0,1,0.014433516054608853
2,"(4,)",0,1,X1,"('X5',)",0,2,-0.003406028064109612
2,"(4,)",0,1,X1,"('X5',)",0,3,0.027449517936491863
2,"(4,)",0,1,X1,"('X5',)",0,4,0.011823572733231535
2,"(4,)",0,1,X1,"('X5',)",1,0,0.014039693500596528
2,"(4,)",0,1,X1,"('X5',)",1,1,-0.029671015956229452
2,"(4,)",0,1,X1,"('X5',)",1,2,-0.011293437742965318
2,"(4,)",0,1,X1,"('X5',)",1,3,-0.014678220762082805
2,"(4,)",0,1,X1,"('X5',)",1,4,-0.02068543588821492
2,"(4,)",0,1,X1,"('X5',)",2,0,-0.026294603109115577
2,"(4,)",0,1,X1,"('X5',)",2,1,0.015725267822905287
2,"(4,)",0,1,X1,"('X5',)",2,2,-0.0008571219518442863
2,"(4,)",0,1,X1,"('X5',)",2,3,-0.05013809561822291
2,"(4,)",0,1,X1,"('X5',)",2,4,-0.015570297022496793
2,"(4,)",0,1,X1,"('X5',)",3,0,-0.005148930249136208
2,"(4,)",0,1,X1,"('X5',)",3,1,0.002590139073819109
2,"(4,)",0,1,X1,"('X5',)",3,2,-0.015725267822905287
2,"(4,)",0,1,X1,"('X5',)",3,3,0.008639219591310976
2,"(4,)",0,1,X1,"('X5',)",3,4,-0.013960387061853319
2,"(4,)",0,1,X1,"('X5',)",4,0,0.0017438985842442856
2,"(4,)",0,1,X1,"('X5',)",4,1,-0.019124949998608587
2,"(4,)",0,1,X1,"('X5',)",4,2,-0.0034683773813866114
2,"(4,)",0,1,X1,"('X5',)",4,3,0.032432385595109414
2,"(4,)",0,1,X1,"('X5',)",4,4,-0.027092548077151668
2,"(5,)",0,1,X1,"('X6',)",0,0,-0.0025636385509758552
