order,context_indices,target_idx,context_size,target_feature,ground_truth,context_features,repeat,fold,delta
1,(),5,0,a6,noise,(),3,4,0.00046517412820323845
1,(),5,0,a6,noise,(),4,0,0.0004138505208283183
1,(),5,0,a6,noise,(),4,1,0.0
1,(),5,0,a6,noise,(),4,2,0.00018600790616418728
1,(),5,0,a6,noise,(),4,3,-0.0005926836803016311
1,(),5,0,a6,noise,(),4,4,-0.0038513671491212653
2,"(1,)",0,1,a1,informative,"('a2',)",0,0,0.17310073772610413
2,"(1,)",0,1,a1,informative,"('a2',)",0,1,0.19999930151703726
2,"(1,)",0,1,a1,informative,"('a2',)",0,2,0.1141777951215388
2,"(1,)",0,1,a1,informative,"('a2',)",0,3,0.12530362496748876
2,"(1,)",0,1,a1,informative,"('a2',)",0,4,0.11452137725289224
2,"(1,)",0,1,a1,informative,"('a2',)",1,0,0.14561082473297443
