order,target_feature,context_features,source_file,mean_delta,std_fold_delta,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,n_repeats,n_seeds,n_folds_total,interval_unit
2,X13,"('X1',)",exp6_mixed_dgp_ns_raw.csv,0.0027549599114680317,0.007715296525067287,0.0006138146068738873,0.0015408049213798598,0.0037023485684381545,5,5,0,25,repeat_mean
2,X13,"('X10',)",exp6_mixed_dgp_ns_raw.csv,0.0016143432851266654,0.008644968167076017,0.001252045057305652,-0.0005416038322904405,0.003534466582065092,5,5,0,25,repeat_mean
2,X13,"('X11',)",exp6_mixed_dgp_ns_raw.csv,0.00897187650026142,0.009487544075836627,0.0015055769920689574,0.006354904634557816,0.011362176906436306,5,5,0,25,repeat_mean
2,X13,"('X12',)",exp6_mixed_dgp_ns_raw.csv,0.000512945542830472,0.009999942898537324,0.0020485639495133674,-0.002915232550881572,0.003910457567773004,5,5,0,25,repeat_mean
2,X13,"('X14',)",exp6_mixed_dgp_ns_raw.csv,0.0025562612480426283,0.008137741218787568,0.0012734501630839309,0.0004358734819360879,0.004780719580482937,5,5,0,25,repeat_mean
2,X13,"('X15',)",exp6_mixed_dgp_ns_raw.csv,-0.0022665459847677925,0.008850018723210971,0.001421654104781798,-0.004732532418201362,-1.2419344826023262e-08,5,5,0,25,repeat_mean
2,X13,"('X2',)",exp6_mixed_dgp_ns_raw.csv,0.0002023509425984278,0.009736896122195984,0.0003559040852933177,-0.00037459801414462457,0.0008629443860085323,5,5,0,25,repeat_mean
2,X13,"('X3',)",exp6_mixed_dgp_ns_raw.csv,-0.0051417941869345285,0.010916414984523662,0.0015620737969796448,-0.008013909812635453,-0.0023948781983340003,5,5,0,25,repeat_mean
2,X13,"('X4',)",exp6_mixed_dgp_ns_raw.csv,0.0009174492548016841,0.007558831182687644,0.001913735231845525,-0.002469926678382208,0.00426450897135284,5,5,0,25,repeat_mean
2,X13,"('X5',)",exp6_mixed_dgp_ns_raw.csv,0.005344315505601311,0.006779271320535205,0.0007170891687991382,0.004122433713595964,0.00665231069485879,5,5,0,25,repeat_mean
2,X13,"('X6',)",exp6_mixed_dgp_ns_raw.csv,0.00116776940470002,0.007189171094271311,0.0014623593995464021,-0.001282277646714728,0.0036178164561147677,5,5,0,25,repeat_mean
2,X13,"('X7',)",exp6_mixed_dgp_ns_raw.csv,0.0003585928752267077,0.009663333872477227,0.0013818707927785064,-0.002044946677827816,0.0027269752962488245,5,5,0,25,repeat_mean
2,X13,"('X8',)",exp6_mixed_dgp_ns_raw.csv,0.0005286708222216402,0.008214279346513332,0.0003377041226669232,-0.00012693195304564806,0.001071743636647036,5,5,0,25,repeat_mean
2,X13,"('X9',)",exp6_mixed_dgp_ns_raw.csv,0.0011055425893469614,0.00940444413943918,0.0017533878857534612,-0.0021575158482207645,0.0038291608131314054,5,5,0,25,repeat_mean
2,X14,"('X1',)",exp6_mixed_dgp_ns_raw.csv,0.0003976855198646122,0.009212755675322464,0.0023339577609493667,-0.0035289831517360238,0.004324354191465247,5,5,0,25,repeat_mean
2,X14,"('X10',)",exp6_mixed_dgp_ns_raw.csv,-0.000622127935624276,0.008476627861879542,0.001043734591351613,-0.002093904596241392,0.0014412968840077443,5,5,0,25,repeat_mean
2,X14,"('X11',)",exp6_mixed_dgp_ns_raw.csv,0.0023967432656079725,0.010525038436239644,0.003065030761331261,-0.002979043333679648,0.007772529864895591,5,5,0,25,repeat_mean
2,X14,"('X12',)",exp6_mixed_dgp_ns_raw.csv,-0.0010020832541246603,0.008377196771893426,0.0012452125986177327,-0.0034086788083324436,0.0007518474077587839,5,5,0,25,repeat_mean
2,X14,"('X13',)",exp6_mixed_dgp_ns_raw.csv,0.0036172735704069836,0.009498203701278464,0.0009213309655625715,0.002190520469558507,0.005369233264332394,5,5,0,25,repeat_mean
2,X14,"('X15',)",exp6_mixed_dgp_ns_raw.csv,-0.004500253164482424,0.008830951442473109,0.0017057169696791784,-0.007492449490565473,-0.0015308089324464719,5,5,0,25,repeat_mean
2,X14,"('X2',)",exp6_mixed_dgp_ns_raw.csv,-0.0002095224303284651,0.008439684485992692,0.0017431765698145334,-0.003686824473174078,0.0017117645433236176,5,5,0,25,repeat_mean
2,X14,"('X3',)",exp6_mixed_dgp_ns_raw.csv,0.00230958162314562,0.007865240387984241,0.001529405289234999,-0.0002481357781536119,0.004759343157964524,5,5,0,25,repeat_mean
2,X14,"('X4',)",exp6_mixed_dgp_ns_raw.csv,-0.002104264450813656,0.008367171807687921,0.002585934349170465,-0.005842491049245856,0.0026755300443203804,5,5,0,25,repeat_mean
2,X14,"('X5',)",exp6_mixed_dgp_ns_raw.csv,0.0017634444896782323,0.008835779367670882,0.0013390581512277289,-0.000377595105203508,0.0041179550018789765,5,5,0,25,repeat_mean
2,X14,"('X6',)",exp6_mixed_dgp_ns_raw.csv,0.002295575352305716,0.009124982701888126,0.0005696460582697081,0.001292111798958552,0.0032990389056528806,5,5,0,25,repeat_mean
2,X14,"('X7',)",exp6_mixed_dgp_ns_raw.csv,-0.004059991909350692,0.010652403122812779,0.0008934342824357383,-0.005861136244765427,-0.002776683383513596,5,5,0,25,repeat_mean
2,X14,"('X8',)",exp6_mixed_dgp_ns_raw.csv,2.5073406233472004e-05,0.008158801650556448,0.0016597570062599834,-0.002106366335874044,0.0033419727409599283,5,5,0,25,repeat_mean
2,X14,"('X9',)",exp6_mixed_dgp_ns_raw.csv,0.003715121529921432,0.008690889612433606,0.0017096037004414829,0.0005278699992356882,0.006528305839884103,5,5,0,25,repeat_mean
2,X15,"('X1',)",exp6_mixed_dgp_ns_raw.csv,7.787119486235589e-05,0.008284186751755004,0.001803454729518141,-0.002264903799991312,0.0036357875719851677,5,5,0,25,repeat_mean
2,X15,"('X10',)",exp6_mixed_dgp_ns_raw.csv,-0.0021669675501835646,0.010274534432529618,0.0015556473667596151,-0.005174668798617647,0.00021500015872647675,5,5,0,25,repeat_mean
2,X15,"('X11',)",exp6_mixed_dgp_ns_raw.csv,0.005498464862724996,0.00840919524778331,0.0022274047539915737,0.00191364714117882,0.009760885082930288,5,5,0,25,repeat_mean
